id,sentenca,secao,entidade_texto,entidade_label,entidade_start,entidade_end,entidade_score
0,PODER JUDICIÁRIO,OUTROS,,,,,
1,JUSTIÇA FEDERAL,OUTROS,,,,,
2,Subseção Judiciária de Uberaba-MG,OUTROS,,,,,
3,1a Vara Federal Cível e Criminal da SSJ de Uberaba-MG,OUTROS,1,ORGANIZACAO,0.0,1.0,0.9948
3,1a Vara Federal Cível e Criminal da SSJ de Uberaba-MG,OUTROS,##a Vara Federal Cível e Criminal da SSJ de Uberaba,ORGANIZACAO,1.0,50.0,0.9537
3,1a Vara Federal Cível e Criminal da SSJ de Uberaba-MG,OUTROS,MG,ORGANIZACAO,51.0,53.0,0.6824
4,"Vistos e examinados estes autos,",OUTROS,,,,,
5,"onde são partes as acima indica- das, resolvo proferir a seguinte",OUTROS,,,,,
6,S E N T E N Ç A,OUTROS,,,,,
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,1,ORGANIZACAO,15.0,16.0,0.9599
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,##a Vara,ORGANIZACAO,16.0,22.0,0.9566
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,Ub,LOCAL,25.0,27.0,0.9989
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,##era,LOCAL,27.0,30.0,0.9992
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,##ba,LOCAL,30.0,32.0,0.9991
7,Vara Federal : 1a Vara – Uberaba/MG,OUTROS,MG,LOCAL,33.0,35.0,0.9988
8,Processo-crime : 1009970-47.2021.4.01.3802,OUTROS,,,,,
9,Ação : Penal Pública Incondicionada,OUTROS,,,,,
10,Autor : Ministério Público Federal,OUTROS,Ministério Público Federal,ORGANIZACAO,8.0,34.0,0.9998
11,Réu : Edvaldo Avelino,OUTROS,Ed,PESSOA,6.0,8.0,0.9994
11,Réu : Edvaldo Avelino,OUTROS,##valdo Avelino,PESSOA,8.0,21.0,0.9996
12,Sentença : Tipo “D”,OUTROS,,,,,
13,I – RELATÓRIO,RELATORIO,,,,,
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,M,ORGANIZACAO,2.0,3.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##IN,ORGANIZACAO,3.0,5.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##IS,ORGANIZACAO,5.0,7.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##T,ORGANIZACAO,7.0,8.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##É,ORGANIZACAO,8.0,9.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##RI,ORGANIZACAO,9.0,11.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##O PÚBLICO FEDERAL,ORGANIZACAO,11.0,28.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,E,PESSOA,83.0,84.0,0.9998
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##D,PESSOA,84.0,85.0,0.9998
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##VA,PESSOA,85.0,87.0,0.9998
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##L,PESSOA,87.0,88.0,0.9998
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,##DO AVELINO,PESSOA,88.0,98.0,0.9999
14,"O MINISTÉRIO PÚBLICO FEDERAL, por seu representante legal, ofertou denúncia contra EDVALDO AVELINO, dando-o como incurso nas sanções do Código Penal, artigos 149, caput, e 297, § 4o, em regime de concurso material, porque:",RELATORIO,"Código Penal, artigos 149, caput, e 297, § 4o",LEGISLACAO,136.0,181.0,0.9997
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,02,TEMPO,49.0,51.0,0.9998
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,/,TEMPO,51.0,52.0,0.9997
